holidayName,typeOfHoliday,details,date,weekOfYear,locality
"First Day of Stay Home, Stay Safe Order",COVID-19 Lockdown,Vermont,2020-03-25,13,United States
Maryland Day,Local observance,Maryland,2020-03-25,13,Maryland
First Day of Stay at Home Order,COVID-19 Lockdown,Colorado,2020-03-26,13,Colorado
First Day of Healthy at Home Order,COVID-19 Lockdown,Kentucky,2020-03-26,13,Kentucky
Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii,2020-03-26,13,Hawaii
First Day of Stay at Home Order,COVID-19 Lockdown,"Minnesota, New Hampshire",2020-03-27,13,Minnesota
First Day of Stay at Home Order,COVID-19 Lockdown,"Minnesota, New Hampshire",2020-03-27,13,United States
First Day of Stay at Home Directive,COVID-19 Lockdown,Utah,2020-03-27,13,Utah
First Day of Stay at Home Order,COVID-19 Lockdown,"Alaska, Rhode Island",2020-03-28,13,United States
First Day of Stay at Home Order,COVID-19 Lockdown,"Alaska, Rhode Island",2020-03-28,13,Rhode Island
First Day of Stay at Home Directive,COVID-19 Lockdown,Montana,2020-03-28,13,United States
First Day of Stay at Home Order,COVID-19 Lockdown,Kansas,2020-03-29,13,Kansas
National Vietnam War Veterans Day,Observance,All States,2020-03-29,13,United States
First Day of Stay at Home Order,COVID-19 Lockdown,"North Carolina, Virginia",2020-03-30,14,North Carolina
First Day of Stay at Home Order,COVID-19 Lockdown,"North Carolina, Virginia",2020-03-30,14,Virginia
Seward's Day,State holiday,Alaska,2020-03-30,14,United States
First Day of Stay at Home Order,COVID-19 Lockdown,Arizona,2020-03-31,14,Arizona
First Day of Coronavirus Restrictions,COVID-19 Lockdown,Texas,2020-03-31,14,Texas
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Arizona
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,California
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Colorado
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Michigan
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,New Mexico
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Nevada
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Texas
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Utah
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Washington
César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**",2020-03-31,14,Wisconsin
First Day of Stay at Home Order,COVID-19 Lockdown,DC,2020-04-01,14,District Of Columbia
First Day of Stay at Home Order,COVID-19 Lockdown,"ME, OK, PA",2020-04-02,14,Maine
First Day of Stay at Home Order,COVID-19 Lockdown,"ME, OK, PA",2020-04-02,14,Oklahoma
First Day of Stay at Home Order,COVID-19 Lockdown,"ME, OK, PA",2020-04-02,14,Pennsylvania
First Day of Safer at Home Order,COVID-19 Lockdown,Tennessee,2020-04-02,14,Tennessee
Pascua Florida Day,Local observance,Florida,2020-04-02,14,Florida
First Day of Stay at Home Order,COVID-19 Lockdown,"FL, GA, MS",2020-04-03,14,Florida
First Day of Stay at Home Order,COVID-19 Lockdown,"FL, GA, MS",2020-04-03,14,Georgia
First Day of Stay at Home Order,COVID-19 Lockdown,"FL, GA, MS",2020-04-03,14,Mississippi
First Day of Stay at Home Order,COVID-19 Lockdown,Alabama,2020-04-04,14,Alabama
Palm Sunday,Christian,All States,2020-04-05,14,United States
First Day of Stay at Home Order,COVID-19 Lockdown,Missouri,2020-04-06,15,Missouri
National Tartan Day,Observance,All States,2020-04-06,15,United States
First Day of Stay at Home Order,COVID-19 Lockdown,South Carolina,2020-04-07,15,South Carolina
Maundy Thursday,Christian,All States,2020-04-09,15,United States
Passover (first day),Jewish holiday,All States,2020-04-09,15,United States
National Former Prisoner of War Recognition Day,Observance,All States,2020-04-09,15,United States
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Connecticut
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Delaware
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Hawaii
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Indiana
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Kentucky
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Louisiana
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,North Carolina
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,North Dakota
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,New Jersey
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Tennessee
Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***",2020-04-10,15,Texas
Holy Saturday,Christian,All States,2020-04-11,15,United States
Easter Sunday,"Observance, Christian",All States,2020-04-12,15,United States
Easter Monday,"Observance, Christian",All States,2020-04-13,16,United States
Thomas Jefferson's Birthday,Observance,All States,2020-04-13,16,United States
Father Damien Day,Local observance,Hawaii,2020-04-15,16,Hawaii
Last Day of Passover,Jewish holiday,All States,2020-04-16,16,United States
Emancipation Day,State holiday,DC,2020-04-16,16,District Of Columbia
Orthodox Good Friday,Orthodox,All States,2020-04-17,16,United States
Orthodox Holy Saturday,Orthodox,All States,2020-04-18,16,United States
Orthodox Easter,Orthodox,All States,2020-04-19,16,United States
Orthodox Easter Monday,Orthodox,All States,2020-04-20,17,United States
Patriot's Day,State holiday,"Maine, Massachusetts",2020-04-20,17,United States
Patriot's Day,State holiday,"Maine, Massachusetts",2020-04-20,17,Massachusetts
Yom HaShoah,Jewish commemoration,All States,2020-04-21,17,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Alaska,2020-04-21,17,United States
San Jacinto Day,State holiday,Texas,2020-04-21,17,Texas
National Library Workers' Day,Observance,All States,2020-04-21,17,United States
Oklahoma Day,Local observance,Oklahoma,2020-04-22,17,Oklahoma
Administrative Professionals Day,Observance,All States,2020-04-22,17,United States
Take our Daughters and Sons to Work Day,Observance,All States,2020-04-23,17,United States
Ramadan Starts,Muslim,All States,2020-04-24,17,United States
Last Day of Stay at Home Directive,COVID-19 Lockdown,Montana,2020-04-24,17,United States
Arbor Day,State holiday,Nebraska,2020-04-24,17,Nebraska
Last Day of Stay at Home Order,COVID-19 Lockdown,Colorado,2020-04-26,17,Colorado
Confederate Heroes' Day,Local observance,Florida,2020-04-26,17,Florida
Confederate Memorial Day,State holiday,Mississippi,2020-04-27,18,United States
Confederate Memorial Day,State holiday,Alabama,2020-04-27,18,Alabama
Confederate Heroes' Day observed,Local observance,Florida,2020-04-27,18,Florida
State Holiday,State holiday,Georgia,2020-04-27,18,Georgia
Yom Ha'atzmaut,Jewish holiday,All States,2020-04-29,18,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Alabama,2020-04-30,18,Alabama
Last Day of Stay at Home Order,COVID-19 Lockdown,Georgia,2020-04-30,18,Georgia
Last Day of Stay at Home Order,COVID-19 Lockdown,Idaho,2020-04-30,18,United States
Last Day of Safer at Home Order,COVID-19 Lockdown,Oklahoma,2020-04-30,18,Oklahoma
Last Day of Safer at Home Order,COVID-19 Lockdown,Tennessee,2020-04-30,18,Tennessee
Last Day of Coronavirus Restrictions,COVID-19 Lockdown,Texas,2020-04-30,18,Texas
Last Day of Stay at Home Directive,COVID-19 Lockdown,Utah,2020-05-01,18,Utah
Kentucky Oaks,Sporting event,All States,2020-05-01,18,United States
Law Day,Observance,All States,2020-05-01,18,United States
Loyalty Day,Observance,All States,2020-05-01,18,United States
Lei Day,Local observance,Hawaii,2020-05-01,18,Hawaii
Kentucky Derby,Sporting event,All States,2020-05-02,18,United States
National Explosive Ordnance Disposal (EOD) Day,Observance,All States,2020-05-02,18,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Florida,2020-05-03,18,Florida
Last Day of Stay at Home Order,COVID-19 Lockdown,Indiana,2020-05-03,18,Indiana
Last Day of Stay at Home Order,COVID-19 Lockdown,Kansas,2020-05-03,18,Kansas
Last Day of Stay at Home Order,COVID-19 Lockdown,Missouri,2020-05-03,18,Missouri
Last Day of Stay at Home Order,COVID-19 Lockdown,South Carolina,2020-05-04,19,South Carolina
Kent State Shootings Remembrance,Local observance,Ohio,2020-05-04,19,Ohio
Rhode Island Independence Day,Local observance,Rhode Island,2020-05-04,19,Rhode Island
Cinco de Mayo,Observance,All States,2020-05-05,19,United States
National Nurses Day,Observance,All States,2020-05-06,19,United States
National Day of Prayer,Observance,All States,2020-05-07,19,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Rhode Island,2020-05-08,19,Rhode Island
Truman Day,State holiday,Missouri,2020-05-08,19,Missouri
Victory in Europe Day,Observance,All States,2020-05-08,19,United States
Native American Day,State Observation,Wyoming,2020-05-08,19,United States
Military Spouse Appreciation Day,Observance,All States,2020-05-08,19,United States
Mother's Day,Observance,All States,2020-05-10,19,United States
Confederate Memorial Day,State holiday,South Carolina,2020-05-10,19,South Carolina
Confederate Memorial Day,Local observance,North Carolina,2020-05-10,19,North Carolina
Confederate Memorial Day observed,State holiday,South Carolina,2020-05-11,20,South Carolina
Lag BaOmer,Jewish holiday,All States,2020-05-12,20,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Wisconsin,2020-05-13,20,Wisconsin
Last Day of Stay at Home Order,COVID-19 Lockdown,Arizona,2020-05-15,20,Arizona
Last Day of Stay at Home Order,COVID-19 Lockdown,Louisiana,2020-05-15,20,Louisiana
Last Day of Stay at Home Directive,COVID-19 Lockdown,Nevada,2020-05-15,20,Nevada
"Last Day of Stay Home, Stay Safe Order",COVID-19 Lockdown,Vermont,2020-05-15,20,United States
Peace Officers Memorial Day,Observance,All States,2020-05-15,20,United States
National Defense Transportation Day,Observance,All States,2020-05-15,20,United States
Armed Forces Day,Observance,All States,2020-05-16,20,United States
Preakness Stakes,Sporting event,All States,2020-05-16,20,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Minnesota,2020-05-17,20,Minnesota
Last Day of Stay at Home Advisory,COVID-19 Lockdown,Massachusetts,2020-05-18,21,Massachusetts
Lailat al-Qadr,Muslim,All States,2020-05-19,21,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Ohio,2020-05-19,21,Ohio
"Last Day of Stay Safe, Stay Home Order",COVID-19 Lockdown,Connecticut,2020-05-20,21,Connecticut
Emergency Medical Services for Children Day,Observance,All States,2020-05-20,21,United States
Ascension Day,Christian,All States,2020-05-21,21,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,North Carolina,2020-05-22,21,North Carolina
National Maritime Day,Observance,All States,2020-05-22,21,United States
Harvey Milk Day,Local observance,California,2020-05-22,21,California
Eid al-Fitr,Muslim,All States,2020-05-24,21,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Mississippi,2020-05-25,22,United States
Memorial Day,Federal Holiday,All States,2020-05-25,22,United States
Jefferson Davis' Birthday,Local observance,Mississippi,2020-05-25,22,United States
National Missing Children's Day,Observance,All States,2020-05-25,22,United States
Shavuot,Jewish holiday,All States,2020-05-29,22,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,DC,2020-05-29,22,District Of Columbia
Last Day of Stay at Home Order,COVID-19 Lockdown,Illinois,2020-05-30,22,Illinois
Pentecost,Christian,All States,2020-05-31,22,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Delaware,2020-05-31,22,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Hawaii,2020-05-31,22,Hawaii
Last Day of Stay at Home Order,COVID-19 Lockdown,Washington,2020-05-31,22,Washington
Whit Monday,Christian,All States,2020-06-01,23,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Michigan,2020-06-01,23,Michigan
Statehood Day,Local observance,"Kentucky, Tennessee",2020-06-01,23,Kentucky
Statehood Day,Local observance,"Kentucky, Tennessee",2020-06-01,23,Tennessee
Jefferson Davis' Birthday,State holiday,Alabama,2020-06-01,23,Alabama
Native American Day,State Observation,Arizona,2020-06-02,23,Arizona
Jefferson Davis' Birthday,Local observance,Florida,2020-06-03,23,Florida
Last Day of Stay at Home Order,COVID-19 Lockdown,Pennsylvania,2020-06-04,23,Pennsylvania
D-Day,Observance,All States,2020-06-06,23,United States
Belmont Stakes,Sporting event,All States,2020-06-06,23,United States
Trinity Sunday,Christian,All States,2020-06-07,23,United States
Primary Election Day,State holiday,West Virginia,2020-06-09,24,United States
Last Day of Stay at Home Order,COVID-19 Lockdown,Virginia,2020-06-10,24,Virginia
Corpus Christi,Christian,All States,2020-06-11,24,United States
Kamehameha Day,State holiday,Hawaii,2020-06-11,24,Hawaii
Last Day of Stay at Home Order,COVID-19 Lockdown,New York,2020-06-13,24,New York
Army Birthday,Observance,All States,2020-06-14,24,United States
Flag Day,Observance,All States,2020-06-14,24,United States
Bunker Hill Day,Local observance,Massachusetts,2020-06-14,24,Massachusetts
Last Day of Stay at Home Order,COVID-19 Lockdown,New Hampshire,2020-06-15,25,United States
Juneteenth,Observance,All States,2020-06-19,25,United States
Emancipation Day,State holiday,Texas,2020-06-19,25,Texas
June Solstice,Season,All States,2020-06-20,25,United States
West Virginia Day,State holiday,West Virginia,2020-06-20,25,United States
American Eagle Day,Observance,All States,2020-06-20,25,United States
Father's Day,Observance,All States,2020-06-21,25,United States
Independence Day observed,Federal Holiday,All States,2020-07-03,27,United States
Independence Day,Federal Holiday,All States,2020-07-04,27,United States
Nathan Bedford Forrest Day,Local observance,Tennessee,2020-07-13,29,Tennessee
Bastille Day,Observance,All States,2020-07-14,29,United States
Tax Day,Observance,All States,2020-07-15,29,United States
Rural Transit Day,Observance,All States,2020-07-16,29,United States
Pioneer Day,State holiday,Utah,2020-07-24,30,Utah
Parents' Day,Observance,All States,2020-07-26,30,United States
National Korean War Veterans Armistice Day,Observance,All States,2020-07-27,31,United States
Tisha B'Av,Jewish holiday,All States,2020-07-30,31,United States
Eid al-Adha,Muslim,All States,2020-07-31,31,United States
Colorado Day,Local observance,Colorado,2020-08-01,31,Colorado
Raksha Bandhan,Hindu Holiday,All States,2020-08-03,32,United States
Coast Guard Birthday,Observance,All States,2020-08-04,32,United States
Purple Heart Day,Observance,All States,2020-08-07,32,United States
Janmashtami,Hindu Holiday,All States,2020-08-10,33,United States
Victory Day,State holiday,Rhode Island,2020-08-10,33,Rhode Island
Assumption of Mary,Christian,All States,2020-08-15,33,United States
Bennington Battle Day,State holiday,Vermont,2020-08-16,33,United States
Bennington Battle Day observed,State holiday,Vermont,2020-08-17,34,United States
National Aviation Day,Observance,All States,2020-08-19,34,United States
Muharram,Muslim,All States,2020-08-20,34,United States
Ganesh Chaturthi,Hindu Holiday,All States,2020-08-21,34,United States
Hawaii Statehood Day,State holiday,Hawaii,2020-08-21,34,Hawaii
Senior Citizens Day,Observance,All States,2020-08-21,34,United States
Women's Equality Day,Observance,All States,2020-08-26,35,United States
Lyndon Baines Johnson Day,State holiday,Texas,2020-08-27,35,Texas
Last Day of Stay at Home Instructions,COVID-19 Lockdown,New Mexico,2020-08-28,35,New Mexico
Labor Day,Federal Holiday,All States,2020-09-07,37,United States
California Admission Day,Local observance,California,2020-09-09,37,California
Patriot Day,Observance,All States,2020-09-11,37,United States
Carl Garner Federal Lands Cleanup Day,Observance,All States,2020-09-12,37,United States
National Grandparents Day,Observance,All States,2020-09-13,37,United States
Constitution Day and Citizenship Day,Observance,All States,2020-09-17,38,United States
Air Force Birthday,Observance,All States,2020-09-18,38,United States
National POW/MIA Recognition Day,Observance,All States,2020-09-18,38,United States
Rosh Hashana,State holiday,Texas***,2020-09-19,38,Texas
Rosh Hashana,Jewish holiday,All States,2020-09-19,38,United States
National CleanUp Day,Observance,All States,2020-09-19,38,United States
September Equinox,Season,All States,2020-09-22,39,United States
Emancipation Day,Local observance,Ohio,2020-09-22,39,Ohio
Native American Day,State Observation,"California, Nevada",2020-09-25,39,California
Native American Day,State Observation,"California, Nevada",2020-09-25,39,Nevada
American Indian Heritage Day,State Observation,"Montana, Texas",2020-09-25,39,United States
American Indian Heritage Day,State Observation,"Montana, Texas",2020-09-25,39,Texas
Michigan Indian Day,State Observation,Michigan,2020-09-25,39,Michigan
Gold Star Mother's Day,Observance,All States,2020-09-27,39,United States
American Indian Day,State Observation,Tennessee,2020-09-28,40,Tennessee
Yom Kippur,Jewish holiday,All States,2020-09-28,40,United States
Yom Kippur,State holiday,Texas***,2020-09-28,40,Texas
First Day of Sukkot,Jewish holiday,All States,2020-10-03,40,United States
Feast of St Francis of Assisi,Christian,All States,2020-10-04,40,United States
Frances Xavier Cabrini,State holiday,Colorado,2020-10-05,41,Colorado
Child Health Day,Observance,All States,2020-10-05,41,United States
Last Day of Sukkot,Jewish holiday,All States,2020-10-09,41,United States
Leif Erikson Day,Observance,All States,2020-10-09,41,United States
Shmini Atzeret,Jewish holiday,All States,2020-10-10,41,United States
Chicago Marathon,Canceled,All States,2020-10-10,41,United States
Simchat Torah,Jewish holiday,All States,2020-10-11,41,United States
Columbus Day,State Legal Holiday,Tennessee,2020-10-12,42,Tennessee
Columbus Day,State holiday,22 states,2020-10-12,42,United States
Columbus Day,Federal Holiday,All States,2020-10-12,42,United States
Fraternal Day,State holiday,Alabama,2020-10-12,42,Alabama
Yorktown Victory Day,State holiday,Virginia,2020-10-12,42,Virginia
Discoverers’ Day,State Observation,Hawaii,2020-10-12,42,Hawaii
Native American Day,State holiday,South Dakota,2020-10-12,42,United States
Native American Day,State Observation,Oklahoma,2020-10-12,42,Oklahoma
Indigenous People's Day,State holiday,"DC, ME, NM",2020-10-12,42,District Of Columbia
Indigenous People's Day,State holiday,"DC, ME, NM",2020-10-12,42,Maine
Indigenous People's Day,State holiday,"DC, ME, NM",2020-10-12,42,New Mexico
Indigenous People's Day,State Observation,28 states,2020-10-12,42,United States
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,California
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,Idaho
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,Louisiana
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,Michigan
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,Minnesota
Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR",2020-10-12,42,Oregon
American Indian Heritage Day,State holiday,Alabama,2020-10-12,42,Alabama
Navy Birthday,Observance,All States,2020-10-13,42,United States
White Cane Safety Day,Observance,All States,2020-10-15,42,United States
Boss's Day,Observance,All States,2020-10-16,42,United States
Navratri,Hindu Holiday,All States,2020-10-17,42,United States
Sweetest Day,Observance,13 states,2020-10-17,42,United States
Alaska Day,State holiday,Alaska,2020-10-18,42,United States
Alaska Day observed,State holiday,Alaska,2020-10-19,43,United States
Dussehra,Hindu Holiday,All States,2020-10-25,43,United States
The Prophet's Birthday,Muslim,All States,2020-10-29,44,United States
Nevada Day,State holiday,Nevada,2020-10-30,44,Nevada
Halloween,Observance,All States,2020-10-31,44,United States
All Saints' Day,Christian,All States,2020-11-01,44,United States
Daylight Saving Time ends,Clock change/Daylight Saving Time,All States,2020-11-01,44,United States
All Souls' Day,Christian,All States,2020-11-02,45,United States
Election Day (General Election),Observance,All States,2020-11-03,45,United States
Election Day,State holiday,12 states,2020-11-03,45,United States
Return Day,State holiday,Delaware**,2020-11-05,45,United States
Marine Corps Birthday,Observance,All States,2020-11-10,46,United States
Veterans Day,Federal Holiday,All States,2020-11-11,46,United States
Diwali/Deepavali,"Observance, Hinduism",All States,2020-11-14,46,United States
Thanksgiving Day,Federal Holiday,All States,2020-11-26,48,United States
State Holiday,State holiday,Georgia,2020-11-27,48,Georgia
Presidents' Day,State holiday,New Mexico,2020-11-27,48,New Mexico
Lincoln's Birthday/Lincoln's Day,State holiday,Indiana,2020-11-27,48,Indiana
Day After Thanksgiving,State holiday,20 states,2020-11-27,48,United States
Family Day,State holiday,Nevada,2020-11-27,48,Nevada
Acadian Day,State holiday,Louisiana,2020-11-27,48,Louisiana
Black Friday,Observance,All States,2020-11-27,48,United States
American Indian Heritage Day,State holiday,Maryland,2020-11-27,48,Maryland
Native American Heritage Day,State holiday,Washington,2020-11-27,48,Washington
Native American Heritage Day,Observance,All States,2020-11-27,48,United States
